date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:13	318/318	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7adc45de195c09997ca97cedf976f44a	https://envy-stockholm.myshopify.com/robots.txt		(from )
23:56:13	21230/21230	---MCZ	200	added ('OK')	text/html	etag:cacheable:b6ef7efb1d8abf9dacdca64e3e03327d	https://envy-stockholm.myshopify.com/	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/index.html	(from )
23:56:14	253335/253335	---M-Z	200	added ('OK')	text/css	etag:%226976ae2548548e4269eeea4f868d226d%22	http://cdn.shopify.com/s/files/1/0271/9799/t/10/assets/style.css?1172313162436649993	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/t/10/assets/stylea3ee.css	(from https://envy-stockholm.myshopify.com/)
23:56:15	9436/9436	---M-Z	200	added ('OK')	application/javascript	etag:%2287073c282c05f5f6de28f81c971b1087%22	http://cdn.shopify.com/s/assets/themes_support/option_selection-54fd013c3dd1f914fc3ca277900ec7c1.js	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/assets/themes_support/option_selection-54fd013c3dd1f914fc3ca277900ec7c1.js	(from https://envy-stockholm.myshopify.com/)
23:56:15	749/749	---MCZ	200	added ('OK')	application/xml	etag:cacheable:cd4f4d7f1be478170f82ed9b28fe03f3	https://envy-stockholm.myshopify.com/sitemap.xml	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/sitemap.xml	(from https://envy-stockholm.myshopify.com/)
23:56:15	6041/6041	---M--	200	added ('OK')	application/javascript	etag:%22b8d1771f377f38d5c4f011aad0a94d8b%22	http://cdn.shopify.com/s/javascripts/shopify_stats.js?v=6	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/javascripts/shopify_stats1bce.js	(from https://envy-stockholm.myshopify.com/)
23:56:16	389/389	---M-Z	200	added ('OK')	application/javascript	etag:%2281a52e83cfad409bbfdcfc122455d14d%22	http://cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-f888be82dfc735c04a5e0b253a366bb5.js	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-f888be82dfc735c04a5e0b253a366bb5.js	(from https://envy-stockholm.myshopify.com/)
23:56:16	26303/26303	---MC-	200	added ('OK')	text/javascript	date:Thu,%2010%20Sep%202015%2010:52:20%20GMT	http://www.google-analytics.com/analytics.js	D:/Dropbox/themeforest/envy/www.google-analytics.com/analytics.js	(from https://envy-stockholm.myshopify.com/)
23:56:17	16644/16644	---MCZ	200	added ('OK')	text/html	etag:cacheable:f074f2f09121f6868db5775200ad9fa7	https://envy-stockholm.myshopify.com/cart	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/cart.html	(from https://envy-stockholm.myshopify.com/)
23:56:18	26824/26824	---MCZ	200	added ('OK')	text/html	etag:cacheable:59bcfad413ac466de60fa2eb2d2f5144	https://envy-stockholm.myshopify.com/collections/all	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/collections/all.html	(from https://envy-stockholm.myshopify.com/)
